stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
15000,Aiguaviva c. Circumval·lació,41.9380308087476,2.76029737602606,https://www.girona.cat/appbus/go?qr=15000,,,1
15001,Aiguaviva  pol. Industrial,41.941171,2.781025,https://www.girona.cat/appbus/go?qr=15001,,,1
15002,Aiguaviva  Pol. Industrial,41.9458896911772,2.78572381260663,https://www.girona.cat/appbus/go?qr=15002,,,1
15003,Aiguaviva  c. Tarragona,41.9458073870416,2.78523883448105,https://www.girona.cat/appbus/go?qr=15003,,,1
15004,Aiguaviva  Ctra. GI-533,41.9380607414572,2.7638548084195,https://www.girona.cat/appbus/go?qr=15004,,,1
15005,Aiguaviva  c. Bellsolà,41.9393351361567,2.76524585123427,https://www.girona.cat/appbus/go?qr=15005,,,1
15007,Fornells  c. Mossen Cinto Verdeguer,41.9311750430337,2.80966406608585,https://www.girona.cat/appbus/go?qr=15007,,,1
15008,ctra. de Palau (Escola),41.9413568897844,2.80897231524153,https://www.girona.cat/appbus/go?qr=15008,,,1
15009,Fornells  Estacio RENFE,41.9348772829619,2.81003730169969,https://www.girona.cat/appbus/go?qr=15009,,,1
15010,c. Albí,41.9593372561993,2.8165836348326,https://www.girona.cat/appbus/go?qr=15010,,,1
15011,c. Albí,41.9591606852423,2.81654094954076,https://www.girona.cat/appbus/go?qr=15011,,,1
15012,c. Albí amb c. Riera de Mus,41.9622890676474,2.81338713340553,https://www.girona.cat/appbus/go?qr=15012,,,1
15013,l'Avellaneda,41.9512722885233,2.80824969330993,https://www.girona.cat/appbus/go?qr=15013,,,1
15014,l'Avellaneda,41.9513159877362,2.80755027877423,https://www.girona.cat/appbus/go?qr=15014,,,1
15015,c. Aragó,41.9513452525677,2.81114602634982,https://www.girona.cat/appbus/go?qr=15015,,,1
15026,Parc Comtessa Ermessenda,41.9716182538802,2.8119977140811,https://www.girona.cat/appbus/go?qr=15026,,,1
15027,av. St. Narcís  5,41.9795250511467,2.81372881505932,https://www.girona.cat/appbus/go?qr=15027,,,1
15028,av. Sant Narcís - c. Bilbao,41.9689360859849,2.81098079968972,https://www.girona.cat/appbus/go?qr=15028,,,1
15029,av. St. Narcís  2,41.979308,2.813791,https://www.girona.cat/appbus/go?qr=15029,,,1
15031,Sant Ponç,41.9937339409011,2.81967059770626,https://www.girona.cat/appbus/go?qr=15031,,,1
15032,c. Barcelona - Centre Comercial,41.971066669459,2.8148818359296,https://www.girona.cat/appbus/go?qr=15032,,,1
