route_id,service_id,trip_id,trip_headsign,trip_short_name,shape_id,wheelchair_accessible,bikes_allowed
L11,DisFir,DisFir_1142_25,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1142_26,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1142_27,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1142_28,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1142_29,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1142_2,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1142_3,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1142_4,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1142_5,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1142_6,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1142_7,UdG Montilivi,Destí UdG Montilivi,L11-702F,1,1
L11,DisFir,DisFir_1142_8,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1142_9,UdG Montilivi,Destí UdG Montilivi,L11-702F,1,1
L1,DisFir,DisFir_1211_10,Avellaneda,Destí Avellaneda,L1-2,1,1
L2,DisFir,DisFir_1211_11,Puig d'en Roca,Destí Hospital Josep Trueta i  Puig d'en Roca,L2-101,1,1
L2,DisFir,DisFir_1211_12,Avellaneda,Destí Avellaneda,L2-102,1,1
L1,DisFir,DisFir_1211_13,Montjuïc,Destí Montjuic,L1-1,1,1
L1,DisFir,DisFir_1211_14,Avellaneda,Destí Avellaneda,L1-2,1,1
L2,DisFir,DisFir_1211_15,Hospital Josep Trueta,Destí Hospital Josep Trueta,L2-1,1,1
L2,DisFir,DisFir_1211_16,Avellaneda,Destí Avellaneda,L2-2,1,1
L1,DisFir,DisFir_1211_17,Montjuic,Destí Montjuic,L1-301,1,1
